,Index,Year,DOE,Comdata/T-Chek ,DOELink,COMDataLink,Updated
0,0.0,2016,DOE,Comdata/T-Chek,http://www.ttnews.com/fuel/national.aspx,http://www.ttnews.com/fuel/comdata.aspx,No
0,1.0,2015,DOE,Comdata/T-Chek,http://www.ttnews.com/fuel/2015fuelchart.aspx,http://www.ttnews.com/fuel/comdata2015.htm,No
0,2.0,2014,DOE,Comdata/T-Chek,http://www.ttnews.com/fuel/2014fuelchart.aspx,http://www.ttnews.com/fuel/comdata2014.htm,No
0,3.0,2013,DOE,Comdata/T-Chek,http://www.ttnews.com/fuel/doeregional2013.htm,http://www.ttnews.com/fuel/comdata2013.htm,No
0,4.0,2012,DOE,Comdata/T-Chek,http://www.ttnews.com/fuel/doeregional2012.htm,http://www.ttnews.com/fuel/comdata2012.htm,No
0,5.0,2011,DOE,Comdata/T-Chek,http://www.ttnews.com/fuel/doeregional2011.htm,http://www.ttnews.com/fuel/comdata2011.htm,No
0,6.0,2010,DOE,Comdata/T-Chek,http://www.ttnews.com/fuel/doeregional2010.htm,http://www.ttnews.com/fuel/comdata2010.htm,No
0,7.0,2009,DOE,Comdata/T-Chek,http://www.ttnews.com/fuel/doeregional2009.htm,http://www.ttnews.com/fuel/comdata2009.htm,No
0,8.0,2008,DOE,Comdata/T-Chek,http://www.ttnews.com/fuel/doeregional2008.htm,http://www.ttnews.com/fuel/comdata2008.htm,No
0,9.0,2007,DOE,Comdata/T-Chek,http://www.ttnews.com/fuel/doeregional2007.htm,http://www.ttnews.com/fuel/comdata2007.htm,No
0,10.0,2006,DOE,Comdata/T-Chek,http://www.ttnews.com/fuel/doeregional2006.htm,http://www.ttnews.com/fuel/comdata2006.htm,No
0,11.0,2005,DOE,Comdata/T-Chek,http://www.ttnews.com/fuel/doeregional2005.htm,http://www.ttnews.com/fuel/comdataopis2005.asp,No
0,12.0,2004,DOE,Comdata/T-Chek,http://www.ttnews.com/fuel/doeregional2004.asp,http://www.ttnews.com/fuel/comdata2004.asp,No
0,13.0,2003,DOE,Comdata/T-Chek,http://www.ttnews.com/fuel/doeregional2003.asp,http://www.ttnews.com/fuel/comdata2003.asp,No
0,14.0,2002,DOE,Comdata/T-Chek,http://www.ttnews.com/fuel/doeregional2002.asp,http://www.ttnews.com/fuel/comdataopis2002.htm,No
0,15.0,2001,DOE,Comdata/T-Chek,http://www.ttnews.com/fuel/doeregional2000.asp,http://www.ttnews.com/fuel/comdataopis2000.asp,No
0,16.0,2000,DOE,Comdata/T-Chek,http://www.ttnews.com/fuel/doeregional2000.asp,http://www.ttnews.com/fuel/comdataopis2000.asp,No
