"","x"
"1","RT @krikaworks: Two faced as ever Hillary just lies and seems privileged to do so.
https://t.co/0iPSTilJnj"
"2","RT @mitchellvii: EXCLUSIVE: RNC Condemns Bill Kristol's Anti-Trump Third Party as 'Helping to Elect Hillary Clinton' - Breitbart https://t.â€¦"
"3","RT @chanelpuke: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/wpEnyohvdN"
"4","RT @JeffDSachs: Hillary got millions for AIPAC speech, from billionaire Haim Saban. More hawkish, more funds. Simple &amp; dangerous. https://tâ€¦"
"5","RT @chanelpuke: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/wpEnyohvdN"
"6","RT @Biloximeemaw: Al Sharpton calls 4 killing of Cops. One of Obama's advisors. Is this what the @GOP wants Hillary will follow suit. httpsâ€¦"
"7","RT @yasminefarhan: Vote for Hillary if you think it's ok to shoot a 12 year old in the eyeball bc he threw a rock  https://t.co/AHcMPscefi"
"8","A vote for Hillary is a vote for endless war. #FeelTheBern  https://t.co/3qzC8HSMNQ"
"9","RT @EdgeofSports: And yes, Hillary Clinton today - by association - called the legendary Desmond Tutu anti-semitic. #BDS https://t.co/y6q08â€¦"
"10","RT @zack_streets: Number of United States House Reps Endorsing

Bernie Sanders: 6
Hillary Clinton: 164

#ImWithHer #NotFeelingTheBern httpsâ€¦"
"11","RT @ETCanada: #GeorgeClooney pledges support to @HillaryClinton: ""She's the only grown-up in the room"" https://t.co/nPQAnbH0jc https://t.coâ€¦"
"12","RT @mitchellvii: Why has no one in the media asked Hillary too disavow the violent, racist anti-Trump protesters?"
"13","""Progressive"" Hillary supporters where you at? Hillary moves to Trump's right on Israel: https://t.co/VlMJp1J4hU #FeelTheBern #FreePalestine"
"14","@BoldGlobalMedia who do you endorse? Hillary does not have pragmatic problem solving skills... ha London is saying the same thing"
"15","RT @benshapiro: Anybody who walks out on Trump at AIPAC but stays for Hillary can't honestly claim to be pro-Israel rather than pro-Democraâ€¦"
"16","@DoubtingTomFYI #fyilive #Trump #HillaryClinton #Hillary #BernieSanders #StillSanders Is he gonna attack her with more campaign donations?"
"17","I swear when you get done with one assignment there's 50 more due í ½í¸©í ½í¸©í ½í¸©"
"18","RT @FiveRights: Hillary Clinton's position on Israel. https://t.co/LtA0l4YZDh"
"19","RT @ComedyOrTruth: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/aBFsMu7VQM"
"20","Trying to come up with best line of attack against Hillary. On one hand she represents a party with no new ideas - so she's ""stale."""
"21","Wow, sounding like Trump might actually run left of Hillary on foreign affairs. https://t.co/2PU93S0bDp"
"22","RT @artist4ever: Hillary's example of ""progressive"" requires actually making progress- that's why #ImWithHer #HillaryStrong #HillYes https:â€¦"
"23","RT @politics4667: Bill Clinton: Hillary will fix the immigration system: https://t.co/Jmf33qDV5o #imwithher"
"24","RT @wikileaks: Hillary Clinton's #Libya ""Tick Tock"" details how she 'led' the destruction  https://t.co/FuGMXhTLjp #imwithher https://t.co/â€¦"
"25","Newt: If You're Not for Trump or Cruz, Then You're for Hillary http:// That's right overweight idiot get a life &amp; a clue"
"26","RT @HuffingtonPost: Hillary Clinton hits Donald Trump for being clueless on foreign policy https://t.co/tMzomtdolf https://t.co/JSTc57Mvq5"
"27","@WDFx2EU @elizabethforma @tedcruz She's clearly got some arrangement with Hillary. I'd respect her more if she actually ran for Presâ€“Sellout"
"28","@AG_Conservative No way #Drumpf would prosecute his buddy Hillary.  His sister w/b nominated SCOTUS.  But he can't beat her.  Ain't happenin"
"29","RT @femalenomads: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/ptbJqLW1KR"
"30","RT @DalrympleWill: How demoralizing that Clinton can speak at length about Israel without making a single comment in criticism

https://t.câ€¦"
"31","RT @FoxNews: #Hillary: ""I've laid out a plan to take the fight to ISIS from the air - on the ground with local forces &amp; online."" https://t.â€¦"
"32","RT @JanetPursley: @SethAMandel @cbinflux Hillary has no ethics or character.I Shudder to think any American would vote for her that evil tyâ€¦"
"33","RT @gerfingerpoken: (IBD) Hillary Clinton's Intimidation Of #Benghazi Whistle Blower Gregory Hicks - https://t.co/TcpkylmeBA  - https://t.câ€¦"
"34","RT @DisickReactions: Who would you rather have as the President? 
RT for this Rock or like for Hillary https://t.co/vJtleTC6S3"
"35","RT @SgBz: Hillary Clinton has been exonerated on every one of the charges Republicans have leveled at her. https://t.co/NPGZfGTZ98 #p2 #tcot"
"36","RT @RuffcuttRawlins: #aipac2016 hillary. Chronic liars can't be trusted.  Least with @realDonaldTrump what you see is what you get #NoBS htâ€¦"
"37","RT @GuyCodes: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/n02sn0mNJq"
"38","RT @ZaidJilani: Hillary Clinton said Israel is a ""bastion of liberty"" https://t.co/8rhkQgCGeR"
"39","RT @TarotDarrow: Yes, for #Sanders to still be mentioning #Hillary versus his foreign policy shows just how petty he is. https://t.co/6Hkpuâ€¦"
"40","RT @realDonaldTrump: ""@TheAme19: @realDonaldTrump @RedNationRising And the answer ISN'T Hillary or Pocahontas Warren for $300..."""
